KeyName,ByName,ByValue,ByType,Page,Description
What's your house number or name?,xpath,"//input[..//..//div//label[contains(.,""What's your house number or name?"")]]",input,Home insurance | MoneySuperMarket.com,
What's your postcode?,xpath,"//input[@id=""postcode""]",input,Home insurance | MoneySuperMarket.com,
What's the address that you'd like to insure?,xpath,"//*[@id=""property.address""]/div[1]/div/select",select,Home insurance | MoneySuperMarket.com,
Do you own or rent your home?,xpath,"//label[text()='{0}'][..//..//..//..//span[contains(.,""Do you own or rent your home?"")]]",click,Home insurance | MoneySuperMarket.com,
What would you like to insure?,xpath,"//label[text()='{0}'][..//..//..//..//span[contains(.,""What would you like to insure?"")]]",click,Home insurance | MoneySuperMarket.com,
What is your Day of birth? ,xpath,"//*[@id=""policyHolder.dateOfBirth""]/span/input[1]",input,Home insurance | MoneySuperMarket.com,
What is your Month of birth? ,xpath,"//*[@id=""policyHolder.dateOfBirth""]/span/input[2]",input,Home insurance | MoneySuperMarket.com,
What is your Year of birth? ,xpath,"//*[@id=""policyHolder.dateOfBirth""]/span/input[3]",input,Home insurance | MoneySuperMarket.com,
Would you like to insure any laptops or bikes?,xpath,"//button[text()='{0}'][..//..//..//span[contains(.,'Would you like to insure any laptops or bikes?')]]",click,Home insurance | MoneySuperMarket.com,
"Would you like to insure any items worth over £1000 each?						",xpath,"//button[text()='{0}'][..//..//..//span[contains(.,'Would you like to insure any items worth over £1000 each?')]]",click,Home insurance | MoneySuperMarket.com,
How much would it cost to replace the entire contents of your home?,xpath,"//input[@id=""property.propertyContentsCover.contentsValue""]",input,Home insurance | MoneySuperMarket.com,
Would you like to insure any personal possessions you take out with you?,xpath,"//label[text()='{0}'][..//..//..//..//span[text()=""Would you like to insure any personal possessions you take out with you?""]]",click,Home insurance | MoneySuperMarket.com,
part 1 continue,xpath,//*[@id='questionHolder']/div[3]/div[1]/button,click,Home insurance | MoneySuperMarket.com,
Which type of lock do you have on your main door?,xpath,"//span[contains(.,'Key-operated multipoint lock')][2]",click,Home insurance | MoneySuperMarket.com,
Does your home have patio doors?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Does your home have patio doors?']],click,Home insurance | MoneySuperMarket.com,
Are there any other doors that lead outside?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Are there any other doors that lead outside?']],click,Home insurance | MoneySuperMarket.com,
Do your windows have key-operated locks on them?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Do your windows have key-operated locks on them?']],click,Home insurance | MoneySuperMarket.com,
Do you have a working burglar alarm?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Do you have a working burglar alarm?']],click,Home insurance | MoneySuperMarket.com,
Do you have a fixed and lockable safe? ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Do you have a fixed and lockable safe?']],click,Home insurance | MoneySuperMarket.com,
How many working smoke alarms do you have?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='How many working smoke alarms do you have?']],click,Home insurance | MoneySuperMarket.com,
Is there a local neighbourhood watch?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Is there a local neighbourhood watch?']],click,Home insurance | MoneySuperMarket.com,
What kind of home do you live in?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What kind of home do you live in?']],click,Home insurance | MoneySuperMarket.com,
What kind of house is it?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What kind of house is it?']],click,Home insurance | MoneySuperMarket.com,
Roughly when was your home built?,xpath,"//input[@id=""property.buildTime""]",input,Home insurance | MoneySuperMarket.com,
What percentage of your roof is flat?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='What percentage of your roof is flat?']],click,Home insurance | MoneySuperMarket.com,
Bedrooms                                                                                  ,xpath,//input[@id='property.numberOfBedrooms'],input,Home insurance | MoneySuperMarket.com,
Reception rooms                                                                           ,xpath,//input[@id='property.propertyOccupancy.numberOfLivingRooms'],input,Home insurance | MoneySuperMarket.com,
Bathrooms                                                                                 ,xpath,//input[@id='property.propertyOccupancy.numberOfBathrooms'],input,Home insurance | MoneySuperMarket.com,
Other rooms                                                                               ,xpath,//input[@id='property.propertyOccupancy.numberOfOtherRooms'],input,Home insurance | MoneySuperMarket.com,
Are the statements above correct?,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Are the statements above correct?']],click,Home insurance | MoneySuperMarket.com,
,,,,,
What's the current market value of your property?                                         ,xpath,//input[@id='property.propertyBuildingCover.marketValue'],input,Home insurance | MoneySuperMarket.com,
How much would it cost to rebuild your home today?                                        ,xpath,"//input[@id=""property.propertyBuildingCover.rebuildCost""]",click,Home insurance | MoneySuperMarket.com,
Are there any trees within 5 metres of your home?                                         ,xpath,"//label[contains(@for,'property.propertyOccupancy.treesWithin5m')][text()='{0}']",click,Home insurance | MoneySuperMarket.com,
Did you buy your home?                                                                    ,xpath,"//label[contains(@for,'property.propertyOccupancy.isPurchased')][text()='{0}']",click,Home insurance | MoneySuperMarket.com,
When did you buy your home? Month                                                             ,xpath,"(//div[@id=""property.propertyOccupancy.housePurchaseDate""]//select)[1]",select,Home insurance | MoneySuperMarket.com,
When did you buy your home? Year                                                        ,xpath,"(//div[@id=""property.propertyOccupancy.housePurchaseDate""]//select)[2]",select,Home insurance | MoneySuperMarket.com,
Who lives in your home?                                                                   ,xpath,//label[text()='{0}'][..//..//..//..//span[text()='Who lives in your home?']],click,Home insurance | MoneySuperMarket.com,
